"usuario","genero","edad","indice_fidelidad"
"fbc5cf4ef9cc7f0e5d7951ac8e342bad","Masculino",44,0.85
"9ca693696f9b6dba4fecd518de6d4571","Masculino",74,0.82
"e22ba693df005ce4e756cd8be26dd926","Masculino",72,0.82
"8b49eec7c3bdf5893bb476de0cbbdb40","Femenino",25,0.82
"81c4547baa3eb91b7bb5b2cedc47a226","Masculino",48,0.7
"288025f262fde175700266e4799e0390","Masculino",40,0.9
"7a162312ad44ff4f29d97b82acf0ded3","S/D",51,0.82
"a0964d116a1dcd556706b85be93cb5f5","Masculino",61,0.9
"b837e4f0e723bd12625040112d76ffe8","Masculino",-7981,0.84
"6d0d9a5770725b8495a86acf796a76a6","Masculino",64,0.9
"ff4908a8f631ac8dc8c1f2167cc64868","Masculino",63,0.9
"b0ba2f20f06f41be7c6c8187b2e01935","Masculino",51,0.81
"7932df61d4b6e880f1c4229203797867","Masculino",40,0.52
"629fec6f56af81d278960c2ce0d24e84","Masculino",80,0.8
"d7490c7dcefa062e430fdfc838809044","S/D",37,0.72
"868909051cc0910283da09b5cf7fdf40","Masculino",54,0.72
"b30259b29a7933c44afe3e193811ea9f","Masculino",53,0.71
"512e781703f6bdc1a746ff1bb817368b","Masculino",39,0.83
"ee77dc8d4f19790a3daa9f4fe37b1d10","Femenino",59,0.7
"21c21b6466687cf470e32620c125d18f","Femenino",66,0.7
"88e45d000bab7cfd8ba8b7854404af9a","Masculino",59,0.82
"7e4190de858dcfeab962c1b79d390a71","S/D",63,0.89
"83aee90dd98276250e07828730b782a8","Masculino",35,0.81
"15374020e8fedc091ee9c120af2809f6","Masculino",87,0.75
"48ae1ac99c5a514f7b47fa76e72b7289","Masculino",65,0.79
"683bad60233fbda7b41d7afa9a432f78","Femenino",76,0.78
"5a7ec3bf25c0eb691d55b54c1900c554","S/D",58,0.67
"5531b28d5cbe229989839c5029acbfce","Masculino",47,0.66
"4985e4c7b595c55e21b380f64b3a7b89","Masculino",65,0.77
"9fbd3b1abb1fb95ee2eccf89c9a29651","Femenino",64,0.85
"f98d54d62973e3bc7ba17bc9463a2672","Masculino",47,0.85
"b0ac123030490af5bc6e02d98846266b","Masculino",36,0.84
"74775c7152d921abe7feb7b36fe8bd30","Masculino",62,0.83
"e5a85e19d3b8e0290b7c0ceb3566bb81","Masculino",46,0.83
"1cfa8e14ce6eeae044dab1ba63dd18bf","Masculino",69,0.83
"be354bfe15aa776e92b03db51b1b83de","Masculino",56,0.82
"9783129f63a4b8e59d05b6657b80d44e","Masculino",51,0.08
"edfb478290aff119f8f1cea14204de1a","Masculino",58,0.84
"2c3eb59d31aaf063bb79d2959df0f5b6","Femenino",63,0.9
"cca6f84fb8d552540fccb59f88e7e11d","Femenino",57,0.74
"66048c0aeca11efcc9f805aed25140c7","Femenino",69,0.9
"436409b044d307a6919ceb5c19e45dcc","S/D",75,0.82
"e4c409668bd538a135680151de508fa9","Masculino",46,0.9
"e4d4218ec211c61729f30e13872c9556","Masculino",59,0.9
"7923940ac8e47c0184c948156a6caa88","S/D",-7981,0.7
"8de4ba81b9744297c52d35c326fa878f","S/D",33,0.84
"501944c108960558726d354bed10677c","Masculino",74,0.81
"4eb63a045977191e7967dcde40220686","Masculino",53,0.72
"9692fc79d47165553f27431810cc4df7","Femenino",64,0.8
"212e5ad1335f27cab6b11a5885456bb3","Femenino",73,0.72
"d8cf304561e0f76875081c8825d4bd80","Masculino",71,0.72
"1e6da1b3a8894a51f9613778b1c59997","Masculino",47,0.86
"3969422510ae9a88f82fb2d43d0a47b1","Masculino",32,0.71
"e28554a6d400fa58dad7db7cf8a4bd3e","Masculino",56,0.79
"6c110e050f73c68ff9f85792309b56ca","Masculino",73,0.79
"3e793295e617d4d91485f87d953f8264","S/D",50,0.82
"57d812536f11f74e50e5ba9e0b720268","Femenino",74,0.82
"a292968a6e666a1d3900282faf351b1c","Masculino",45,0.78
"e6a7f1bcd536ec6c240d814976141a93","Masculino",28,0.66
"a60cc5db121ef5278f06d402ead8cf02","Masculino",48,0.05
"6c740e8df96c016135fefa44526f09c4","S/D",82,0.66
"575fa9f8c117dfc3d2503a9b63174327","Masculino",69,0.66
"403603a31702ea0b97fa5e3c62f040f3","Masculino",63,0.77
"e03ccf8f76bbbe4fea1ecf42a594600d","Masculino",43,0.81
"88ba26eb09423a02a336d935b9366b35","Masculino",37,0.91
"fdc94b4a2c155b6bc0afb9ed8ed0ad0a","S/D",82,0.91
"91303c8eedee2c345d61ad4dd6fc0aaf","S/D",72,0.91
"675ea3d3f42feaf7e1dbf9e4091474fb","Femenino",90,0.85
"af55d190587e56d902b08196532fc4b1","S/D",45,0.82
"eb78887e4b6d072cdc60d0f4bbb8be1d","Femenino",42,0.9
"c437c8c3a22c5fa6b17cd834f7199e01","Femenino",62,0.31
"ed773dfeebe5fe71d2d8d69032c2a474","S/D",74,0.9
"0500c29307884669ea56a9aba33eca87","Masculino",38,0.9
"8c04ea96cfe0ef357386cdd58f34acef","Masculino",22,0.9
"d205da1d5b69bbeb3fd18937ba273aa7","Femenino",38,0.73
"f140705fba6f2423023d4619b0b14606","Femenino",65,0.82
"33fe047b13e4090e8f8cab939eb37e19","Masculino",77,0.82
"e870ada6d2193c2c6e803619bf12ce3a","Masculino",57,0.82
"fc8e92d2b5efd68a854d174a68699219","Masculino",34,0.9
"9c01539a70f071cd89b718c28af7aae3","Masculino",45,0.84
"096ca450300c21ed4910837b37c83b22","S/D",58,0.81
